                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9321,                 10.208,                0.80088,                  11.45,                 1.9601,                0.68141,                  0.125,                0.12651,                0.01265,                      0,                      0,                      0,                      0,                 4.1472,                 10.371,                0.53681,                 3.5055,                  1.984,                  4e-05,                  4e-05,                  4e-05
                      2,                 3.6076,                 9.5123,                0.65295,                 5.9087,                 1.8357,                 0.4954,                  0.125,                0.12654,                0.01265,                      0,                      0,                      0,                      0,                 4.1455,                 10.402,                0.53229,                 3.5909,                 1.9793,              9.505e-05,              9.505e-05,              9.505e-05
                      3,                 3.5945,                 9.6033,                 0.6723,                 6.8282,                 1.9289,                0.92977,                  0.125,                0.12742,                0.02548,                      0,                      0,                      0,                      0,                 3.8706,                 8.5695,                 0.5354,                 2.8372,                 1.7382,             0.00014416,             0.00014416,             0.00014416
                      4,                 2.3341,                 7.9464,                0.45685,                  2.072,                 1.2952,                0.55712,                0.47496,                0.35217,                0.13511,                0.49658,                  0.125,                0.12564,                0.02513,                 1.9058,                 7.1027,                0.51742,                 1.7163,                 1.0961,             0.00018733,             0.00018733,             0.00018733
                      5,                 2.0642,                 6.8935,                0.33574,                 1.6035,                 1.0423,                0.70559,                    0.5,                 0.4958,                0.19473,                0.29388,                  0.125,                0.04204,                 0.0042,                 2.2685,                 7.8468,                0.42312,                 1.5368,                 1.0486,             0.00022456,             0.00022456,             0.00022456
                      6,                 2.0073,                 6.7711,                0.24962,                 1.3953,                 1.0316,                0.64847,                    0.5,                0.54459,                0.28615,                0.18676,                   0.25,                0.08707,                 0.0187,                 1.9746,                 6.9336,                0.34644,                 1.3758,                 0.9965,             0.00025585,             0.00025585,             0.00025585
                      7,                 1.8955,                 6.4257,                0.19119,                 1.2374,                0.99456,                0.82796,                0.60485,                 0.6183,                0.35261,                0.32955,                  0.125,                0.08316,                0.01771,                 1.8518,                 6.8355,                0.30089,                 1.2994,                 1.0231,              0.0002812,              0.0002812,              0.0002812
                      8,                 1.7039,                 6.0637,                 0.2134,                 1.2401,                 1.0325,                0.81125,                  0.625,                0.63956,                0.37021,                0.16716,                   0.25,                0.08514,                0.01423,                  1.865,                 6.8503,                0.28403,                 1.4181,                 1.0485,             0.00030061,             0.00030061,             0.00030061
                      9,                 1.7446,                 5.1421,                0.15682,                 1.1914,                 1.0198,                0.66651,                0.49971,                 0.6259,                0.27781,                0.05144,                  0.125,                0.01111,                0.00333,                 1.8578,                 6.8455,                0.28037,                 1.3311,                  1.088,             0.00031408,             0.00031408,             0.00031408
                     10,                 1.8351,                 6.0501,                0.16548,                 1.2641,                  1.011,                0.72131,                 0.6496,                0.69308,                0.29189,                0.05402,                  0.125,                0.01121,                 0.0013,                  1.969,                  6.751,                0.28191,                 1.2815,                  1.072,             0.00032161,             0.00032161,             0.00032161
                     11,                  1.641,                 5.1357,                 0.0892,                 1.0912,                0.98357,                0.69271,                    0.5,                0.55619,                0.21351,                0.78971,                  0.125,                0.13092,                0.01506,                 1.9484,                  6.405,                0.28976,                 1.2262,                 1.1221,              0.0003232,              0.0003232,              0.0003232
                     12,                 1.6135,                 4.8812,                0.08769,                 1.0347,                0.96974,                0.61948,                    0.5,                0.54067,                0.21502,                0.81066,                  0.125,                0.13169,                0.03836,                 1.9814,                 6.1467,                 0.2833,                  1.245,                 1.1043,             0.00031885,             0.00031885,             0.00031885
                     13,                  1.501,                 4.6643,                0.08424,                0.96394,                0.94432,                0.78545,                0.46362,                0.54842,                0.26645,                0.95253,                   0.25,                0.25031,                0.06284,                 1.8651,                 5.7667,                0.23891,                 1.2244,                 1.0835,             0.00030856,             0.00030856,             0.00030856
                     14,                 1.4132,                 4.7236,                 0.0774,                0.98066,                0.93901,                0.98007,                  0.375,                0.56389,                0.29776,                0.74015,                0.36023,                0.34478,                0.08483,                 1.8045,                 5.5963,                0.22694,                 1.2189,                 1.0745,             0.00029233,             0.00029233,             0.00029233
                     15,                 1.5224,                 4.6124,                0.07868,                0.96649,                0.89128,                      1,                0.48833,                0.57402,                0.27584,                0.93567,                   0.25,                0.24733,                0.08411,                 1.8885,                 5.5395,                0.20936,                 1.2712,                  1.036,             0.00027016,             0.00027016,             0.00027016
                     16,                 1.4328,                 4.9129,                0.07175,                0.94265,                0.93357,                      1,                0.49647,                0.60471,                0.29503,                0.91817,                   0.25,                 0.2475,                0.08064,                 1.7994,                 5.5854,                0.20027,                 1.2386,                 1.0426,             0.00024205,             0.00024205,             0.00024205
                     17,                 1.3085,                 4.4234,                0.06527,                0.91476,                0.88902,                0.69935,                  0.625,                0.65054,                0.32597,                 0.4924,                   0.25,                0.12511,                0.03782,                 1.7934,                 5.8124,                0.23035,                 1.1015,                 1.0405,               0.000208,               0.000208,               0.000208
                     18,                 1.3849,                 4.9018,                0.07681,                0.91516,                0.92895,                      1,                0.62062,                0.69984,                0.37331,                0.36888,                   0.25,                0.15724,                0.03987,                 1.8224,                 5.6251,                0.17494,                 1.1706,                 1.0385,             0.00016801,             0.00016801,             0.00016801
                     19,                 1.2758,                 3.8942,                0.06219,                0.89276,                0.90432,                      1,                0.61618,                 0.6285,                0.38348,                0.39218,                   0.25,                0.11764,                0.04261,                 1.8961,                 5.4679,                0.12529,                 1.2676,                 1.0421,             0.00012208,             0.00012208,             0.00012208
                     20,                 1.3792,                 4.3385,                0.06587,                0.90004,                0.92084,                      1,                0.61578,                0.62868,                0.39826,                0.59756,                0.37195,                0.24501,                0.05362,                 1.8416,                 5.5599,                0.12083,                 1.2195,                   1.04,              7.021e-05,              7.021e-05,              7.021e-05
